subscription_id,customer_id,subscription_status,contract_start_date,contract_end_date,inspection_fee_end_date,cancel_at,cancel_at_date,cancel_at_period_end,schedule_id,schedule_status,schedule_end_behavior,schedule_phase_count,schedule_last_phase_end,schedule_phases,all_schedule_phase_items_same,all_phase_business_settings_same,phase_business_differences,action,safe_to_apply,reason,error
sub_1TqYIUE2kujhweZx6UmAf2ZE,cus_UqElbX5rsYSfwY,active,2026-07-07,2076-07-07,2029-07-07,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TqY58E2kujhweZxemyjqeqN,cus_UqEYxkHhGHQAFs,active,2026-07-07,2076-07-07,2029-07-07,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgUVnE2kujhweZxbWmSqmZ6,cus_UfqC7GkPLuoLue,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgSSmE2kujhweZx0omYjE9V,cus_Ufo3f662KEk9vy,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgRmtE2kujhweZxH0ak7I7c,cus_UfnNlu2CK38zxo,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgR5rE2kujhweZxc3IpXDaB,cus_Ufmfy38ySmL4qV,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgQycE2kujhweZxiSDqLZ7d,cus_UfmXOfNLyvqNED,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgQsIE2kujhweZxrVKdu2pA,cus_UfmQZ3A9lnBMiX,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgQgqE2kujhweZxZNGzQWWk,cus_UfmEkXJGLjTlUM,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgQ2AE2kujhweZxQ4ENWBEZ,cus_UflZpdhBbU40SI,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TgPtqE2kujhweZxojdhDtQ0,cus_UflQ09lyQ7BM2m,active,2026-06-09,2076-06-09,2029-06-09,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1Tf0mbE2kujhweZxBkklcyWP,cus_UeJPzA3VbtKL9y,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1Tf0g6E2kujhweZxUgJTEjKg,cus_UeJIxHxj2FXlc8,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1Tf0OZE2kujhweZxhRcHPnZE,cus_UeJ0sq2owRo6dd,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1Tf08qE2kujhweZxg1Yz74NM,cus_UeIkzZoxc5BELd,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TezyhE2kujhweZxV86zzj0i,cus_UeIZ0SwN62XnyV,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TezkpE2kujhweZx2T0MXmGH,cus_UeILyiRqnGC9Mi,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1Tey5wE2kujhweZxJHzFWAUQ,cus_UeGctl1iPY011Y,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TexuhE2kujhweZx3ALYf76C,cus_UeGRodfO0LnigF,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TexnZE2kujhweZxHAVd30UB,cus_UeGK1xSB51hYJp,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TexQIE2kujhweZxKCBgJYUf,cus_UeFwR5skAIThOZ,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1Tex7lE2kujhweZxd3Cx9Gav,cus_UeFcRmTvqgTC6E,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TewrgE2kujhweZx3gv0M1r8,cus_UeFMyy0yGxIC3r,active,2026-06-05,2076-06-05,2029-06-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTnDHE2kujhweZxsJOp2viU,cus_USieRzJ5q7pL3Y,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTn7zE2kujhweZxmbSnfsCA,cus_USiYqIBaFkHvPQ,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTmzQE2kujhweZx8Lb8yR7Q,cus_USiQD9LO82Foy1,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTmraE2kujhweZx6eh2OUTM,cus_USiHeVxUVXQycP,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTmmSE2kujhweZxLn7oxX5H,cus_USiCERRBbD3Tdg,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTmhaE2kujhweZxSLp7TjSH,cus_USi76sdJ1UVgsm,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TThTGE2kujhweZxfCCbTfTB,cus_UScitaCk28EshL,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TThLQE2kujhweZxBGs9Qoij,cus_UScYE3CARaR1vk,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TThC8E2kujhweZxdSqudiUU,cus_UScQ8ed5np1RVK,active,2026-05-05,2076-05-05,2029-05-05,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTQsyE2kujhweZxSzWNUD8s,cus_USLZo2T8Mt452c,active,2026-05-04,2076-05-04,2029-05-04,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTQowE2kujhweZxGLTa4ils,cus_USLVz6JeOtlNho,active,2026-05-04,2076-05-04,2029-05-04,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTQi6E2kujhweZxBZ6MnM4A,cus_USLOqmA4XaqTa8,active,2026-05-04,2076-05-04,2029-05-04,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTQWoE2kujhweZx0NtbzPat,cus_USLDwIDJbO19rs,active,2026-05-04,2076-05-04,2029-05-04,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTQQyE2kujhweZxtoPHxD9O,cus_USL71BSD7ayXnj,active,2026-05-04,2076-05-04,2029-05-04,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTQIfE2kujhweZx2evxs9w9,cus_USKy2pNentbuFy,active,2026-05-04,2076-05-04,2029-05-04,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTQ9nE2kujhweZxApExWUm4,cus_USKp8nfhnqRv7C,active,2026-05-04,2076-05-04,2029-05-04,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTQ3uE2kujhweZxpi2ZQmB9,cus_USKjnGPZe1qMfq,active,2026-05-04,2076-05-04,2029-05-04,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TTPORE2kujhweZxaU1R3gIU,cus_R2dcfQkRlDccAH,active,2024-10-16,2074-10-16,2027-10-16,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TREdPE2kujhweZxnijkjU2G,cus_SIeRTDfvxE7yMR,active,2025-05-12,2075-05-12,2028-05-12,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TQpeIE2kujhweZxWynJGFwN,cus_SLethGoBn9Bmko,active,2025-05-20,2075-05-20,2028-05-20,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TJc2IE2kujhweZxbUxHZJZO,cus_UICROQlL3tp3i9,active,2026-04-07,2076-04-07,2029-04-07,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TJG2LE2kujhweZxRbeXO5zP,cus_UHphFqEBWhrEK7,active,2026-04-06,2076-04-06,2029-04-06,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
sub_1TJFtdE2kujhweZxdBPO60WI,cus_UHpY0fheLPJfVg,active,2026-04-06,2076-04-06,2029-04-06,,,False,,,,0,,[],False,False,[],already_forever,True,"Subscription has no cancel_at, cancel_at_period_end is false, and no schedule is attached.",
