subscription_id,customer_id,subscription_status,action,missing_keys_before,reason,error,contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version
sub_1SACWKE2kujhweZxyHi6aCwU,cus_T6PK44wwdwf5jQ,active,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2025-09-22,2075-09-22,50,2025-09-22,2028-09-22,3,active,1
sub_1RvHSbE2kujhweZxWhe1XR7r,cus_SqzOPJtLlPxjFq,active,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2025-08-12,2075-08-12,50,2025-08-12,2028-08-12,3,active,1
sub_1PY7MyE2kujhweZxWBAmzpHU,cus_QMfqMlmiMWyjv1,active,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2024-06-26,2074-06-26,50,2024-06-26,2027-06-26,3,active,1
sub_1TgQmNE2kujhweZxpdELWHXT,cus_UfmK4kaAwStO8j,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2026-06-09,2076-06-09,50,2026-06-09,2029-06-09,3,active,1
sub_1SonP3E2kujhweZxQl0MtaJi,cus_TmM7PxPUOsxuDI,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2026-01-12,2076-01-12,50,2026-01-12,2029-01-12,3,active,1
sub_1SUUhnE2kujhweZxrA44uqAQ,cus_TRNSxGCMTIpDWa,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2025-11-17,2075-11-17,50,2025-11-17,2028-11-17,3,active,1
sub_1SUTvGE2kujhweZxHDncvLyu,cus_TPYCx6H5rpNHEz,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2025-11-12,2075-11-12,50,2025-11-12,2028-11-12,3,active,1
sub_1SIAK4E2kujhweZxCALLXwSN,cus_TEdbdGlf1qYaQg,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2025-10-14,2075-10-14,50,2025-10-14,2028-10-14,3,active,1
sub_1SHzP7E2kujhweZx62VefcLE,cus_Qf83gzJkhkZiEh,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2024-08-14,2074-08-14,50,2024-08-14,2027-08-14,3,active,1
sub_1QZJJ7E2kujhweZxgtdbdiWR,cus_RSDkKmMhjJrKhZ,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2024-12-23,2074-12-23,50,2024-12-23,2027-12-23,3,active,1
sub_1QMxgvE2kujhweZxvIiygN4G,cus_RFSXVe5Z6ltM8P,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2024-11-19,2074-11-19,50,2024-11-19,2027-11-19,3,active,1
sub_1PizHCE2kujhweZxwr4XMMYP,cus_QZmVBXJLnUZflF,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2024-07-31,2074-07-31,50,2024-07-31,2027-07-31,3,active,1
sub_1PY7BFE2kujhweZxMv35csIV,cus_QMfIDTybaQMI4n,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2024-06-26,2074-06-26,50,2024-06-26,2027-06-26,3,active,1
sub_1PY74cE2kujhweZxeRGoi9u1,cus_QMepBWKUKvjx3U,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2024-06-26,2074-06-26,50,2024-06-26,2027-06-26,3,active,1
sub_1PY6ciE2kujhweZx5d8VadQl,cus_QKSLYimXVZU5oP,past_due,metadata_updated,"contract_start_date,contract_end_date,contract_term_years,inspection_fee_start_date,inspection_fee_end_date,inspection_fee_years,inspection_fee_status,billing_rule_version",,,2024-06-20,2074-06-20,50,2024-06-20,2027-06-20,3,active,1
